Название,Ссылка товара,Старая цена,Цена,Скидка,Ссылки на картинки,Ссылки Доп Фото,Описание,Характеристики,Преимущества
Диван Мадрид MINI НПБ рогожка Malmo серый,https://mnogomebeli.com/divany/pryamye-divany/divan-madrid-npb-malmo/!divan-madrid-npb-rogozhka-malmo-seryy/,,26 999,,"https://mnogomebeli.com/upload/iblock/29e/337mtutc5ysr1j8ogp7uguix0fo0xp31.jpg, https://mnogomebeli.com/upload/iblock/ce8/0cq22cgn4ri15kpjajvywfn50moz6v0r.jpg, https://mnogomebeli.com/upload/iblock/2fe/ovgr3557ohrx0rf9xjbt2yuo2h7t5ufi.jpg, https://mnogomebeli.com/upload/iblock/275/r25glq7etu2ksjnglksf63lpz06j07c3.jpg, https://mnogomebeli.com/upload/iblock/e15/6d3ts26tbvrji1pyg94uifcslc0eb5ci.jpg, https://mnogomebeli.com/upload/iblock/5dc/p4ek6weqlf8e86ro7n7voaritufdapkm.jpg","https://mnogomebeli.com/upload/uf/25f/25f6dcd606a725b83c23e0f4fca88036.png, https://mnogomebeli.com/upload/uf/18e/18ef114707ee2981baa509d8897fc3cb.jpg, https://mnogomebeli.com/upload/uf/9e1/9e1f73b804551253602a62d867d6743b.jpg, https://mnogomebeli.com/upload/uf/0bd/0bd13ba969ec2de9599265b237a1460a.jpg, https://mnogomebeli.com/upload/uf/9a2/7n9trhn07cd1zrs3mlg2j38uihf3z65h.jpg, https://mnogomebeli.com/upload/uf/295/295065563e6d35bd8aa012fb7461d0b7.gif, https://mnogomebeli.com/upload/iblock/d95/d9510b86368c85df12ccbb7473f6250e.png","Использование современных материалов позволило нам создать эту стильную и компактную модель устойчивую к высоким нагрузкам. Мягкие подушки, наполненные холлофайбером и дробленой пеной, принимают идеальную форму для снятия напряжения с вашего позвоночника. Наполнитель находится в дополнительном чехле, что позволяет при необходимости почистить основной.","Габариты (ШхГхВ): 200x95x98 см, Спальное место (ШхГ): 200x140 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 91 кг","Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Долгий срок эксплуатации, Соответствует европейскому сертификату OEKO-TEX®, Гладкая и приятная на ощупь текстура, Простой уход"
Диван Мадрид MINI НПБ рогожка Malmo бежевый,https://mnogomebeli.com/divany/pryamye-divany/divan-madrid-npb-malmo/!divan-madrid-npb-rogozhka-malmo-bezhevyy/,,26 999,,"https://mnogomebeli.com/upload/iblock/0a3/vep1qfig8ef19b3ru1dl8hfn121ygjp0.jpg, https://mnogomebeli.com/upload/iblock/553/1859g27ts7rhtps1vrz3x5sa6orv2dmt.jpg, https://mnogomebeli.com/upload/iblock/7d2/t5x9qdauxeuqunqxtp7z62ynud4nutqf.jpg, https://mnogomebeli.com/upload/iblock/ae5/kvyrdhmjt7m84gw3tbs6f4m6goqeng6j.jpg, https://mnogomebeli.com/upload/iblock/10c/kuhv3lmtahnnlimgte7uy5r9nu5ozmmb.jpg, https://mnogomebeli.com/upload/iblock/5cc/ednjds4skx7ysy407ig0tmtyi01f21pn.jpg, https://mnogomebeli.com/upload/iblock/eb8/wwfvo2lsy3mktf380udotqh1gwvisghy.jpg","https://mnogomebeli.com/upload/uf/25f/25f6dcd606a725b83c23e0f4fca88036.png, https://mnogomebeli.com/upload/uf/18e/18ef114707ee2981baa509d8897fc3cb.jpg, https://mnogomebeli.com/upload/uf/9e1/9e1f73b804551253602a62d867d6743b.jpg, https://mnogomebeli.com/upload/uf/0bd/0bd13ba969ec2de9599265b237a1460a.jpg, https://mnogomebeli.com/upload/uf/9a2/7n9trhn07cd1zrs3mlg2j38uihf3z65h.jpg, https://mnogomebeli.com/upload/uf/295/295065563e6d35bd8aa012fb7461d0b7.gif, https://mnogomebeli.com/upload/iblock/d95/d9510b86368c85df12ccbb7473f6250e.png","Использование современных материалов позволило нам создать эту стильную и компактную модель устойчивую к высоким нагрузкам. Мягкие подушки, наполненные холлофайбером и дробленой пеной, принимают идеальную форму для снятия напряжения с вашего позвоночника. Наполнитель находится в дополнительном чехле, что позволяет при необходимости почистить основной.","Габариты (ШхГхВ): 200x95x98 см, Спальное место (ШхГ): 200x140 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, независимые пружины, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Подлокотники: Да, Вес: 91 кг","Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Долгий срок эксплуатации, Соответствует европейскому сертификату OEKO-TEX®, Гладкая и приятная на ощупь текстура, Простой уход"
"Диван Мадрид Лайт рогожка Malmo шоколад, мозайка шок",https://mnogomebeli.com/divany/pryamye-divany/divan-madrid-layt-malmo/!divan-madrid-layt-rogozhka-malmo-shokolad-mozayka-shok/,26 999,18 999,-30%,"https://mnogomebeli.com/upload/iblock/1b6/1b64434aea3889a1d3c55857b6e726bb.jpg, https://mnogomebeli.com/upload/iblock/40d/40d841c3a51d72a3297b7f015102dbf2.jpg, https://mnogomebeli.com/upload/iblock/22c/22cb2d14724badcd5b328ef9db1ae4f8.jpg, https://mnogomebeli.com/upload/iblock/f4f/f4f8fdebb7f8cb57e986d652ca3d1447.jpg, https://mnogomebeli.com/upload/iblock/51a/fem7mmvv5vbyyy1jk2jnib6tcyrf0alf.jpg, https://mnogomebeli.com/upload/iblock/752/ztp5qgo90k5jq2gul9014v57juz4dp4q.jpg, https://mnogomebeli.com/upload/iblock/99d/owjor8teysj9o5wxwcf1dmcb2snhnhe7.jpg","https://mnogomebeli.com/upload/uf/697/69720f84816182f5d296c4cb70ef66d2.png, https://mnogomebeli.com/upload/uf/0bd/0bd13ba969ec2de9599265b237a1460a.jpg, https://mnogomebeli.com/upload/uf/9e1/9e1f73b804551253602a62d867d6743b.jpg, https://mnogomebeli.com/upload/uf/9a2/7n9trhn07cd1zrs3mlg2j38uihf3z65h.jpg, https://mnogomebeli.com/upload/iblock/6f0/6f08b376267cf8ccd5871cd1c973af11.jpg","Использование современных материалов позволило нам создать эту стильную и компактную модель устойчивую к высоким нагрузкам. Мягкие подушки, наполненные холлофайбером и дробленой пеной, принимают идеальную форму для снятия напряжения с вашего позвоночника. Наполнитель находится в дополнительном чехле, что позволяет при необходимости почистить основной.","Габариты (ШхГхВ): 190x82x92 см, Спальное место (ШхГ): 190x130 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, Ткань: рогожка Malmo, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Вес: 69 кг","Рогожка с плетением микрокосичка, Высокая стойкость к истиранию - 35 000 циклов, Долгий срок эксплуатации, Соответствует европейскому сертификату OEKO-TEX®, Гладкая и приятная на ощупь текстура, Простой уход"
Диван Мадрид Лайт микровелюр Armour газета,https://mnogomebeli.com/divany/pryamye-divany/divan-madrid-layt-armour/!divan-madrid-layt-mikrovelyur-armour-gazeta/,26 999,18 999,-30%,"https://mnogomebeli.com/upload/iblock/04c/k84cc1zs0f6kiih47pnxgufo1vb2ef2c.jpg, https://mnogomebeli.com/upload/iblock/fb8/yvatrf7yzi1up7f3v14iymkyhwn2vs8n.jpg, https://mnogomebeli.com/upload/iblock/dbc/ymbdsnh53nan8kxt5eu4xrbeaeasq1xi.jpg, https://mnogomebeli.com/upload/iblock/47d/rdmb3x4wjew1y8zpllscsjj38qws6tcy.jpg, https://mnogomebeli.com/upload/iblock/4c4/4c4025ec507a75887ce12ce38bb393d6.jpg, https://mnogomebeli.com/upload/iblock/732/7cpuauy7e0de93oo2gfh64zq1qc7u4b0.jpg","https://mnogomebeli.com/upload/uf/697/69720f84816182f5d296c4cb70ef66d2.png, https://mnogomebeli.com/upload/uf/0bd/0bd13ba969ec2de9599265b237a1460a.jpg, https://mnogomebeli.com/upload/uf/9e1/9e1f73b804551253602a62d867d6743b.jpg, https://mnogomebeli.com/upload/uf/9a2/7n9trhn07cd1zrs3mlg2j38uihf3z65h.jpg, https://mnogomebeli.com/upload/iblock/d1e/d1ec4d18a2a57dcde21f0933cbc8ef72.jpg","Использование современных материалов позволило нам создать эту стильную и компактную модель устойчивую к высоким нагрузкам. Мягкие подушки, наполненные холлофайбером и дробленой пеной, принимают идеальную форму для снятия напряжения с вашего позвоночника. Наполнитель находится в дополнительном чехле, что позволяет при необходимости почистить основной.","Габариты (ШхГхВ): 190x82x92 см, Спальное место (ШхГ): 190x130 см, Механизм трансформации: Еврокнижка, Материал каркаса: фанера, древесные плиты, Наполнитель: ППУ, Ткань: микровелюр Armour, Бельевой ящик: Да, Гарантия: 18 месяцев, Срок службы: 10 лет, Конфигурация: Прямой, Вес: 69 кг","Гладкая и приятная на ощупь текстура, Гипоаллергенный материал, Пропускает воздух и отталкивает пыль, Высокая стойкость к истиранию - 20 000 циклов"
NEW BOSS MODOOL база БК шенилл IQ серый,https://mnogomebeli.com/divany/modulnye-divany/moduli/belevoy-korob-boss-module-shenill-iq/!boss-module-s-belevym-korobom-shenill-iq-seryy/,39 999,36 999,-8%,"https://mnogomebeli.com/upload/iblock/eb0/eb0ab70310841a3f93294f85f88ae8c2.jpg, https://mnogomebeli.com/upload/iblock/f1b/99v6wm68pj1xd1t109bu8mbjxj171udt.jpg, https://mnogomebeli.com/upload/iblock/0f4/tfps5oqvfko9s8dudavd1sf44dgcq85h.jpg","https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/5a0/1o38392fy8v832xxmsuiw4rmpsqwe9tb.jpg, https://mnogomebeli.com/upload/uf/d3e/d3e33b124c268ffbe16cec4c9b01e6a8.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/e45/e45486dd7bf0d8df5dad489e8b7232e8.jpg","BOSS MODOOL – кресельный модуль с бельевым коробом,  является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. BOSS MODOOL выполнен с учетом последних требований в области экологии – не содержит ЛДСП, бельевые ящики из эко текстиля.","Габариты (ШхГхВ): 101x118x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл IQ, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 66 кг","Шенилл премиального качества, Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 35 000 циклов, Богатая по текстуре и цвету ткань из нитей 5 оттенков, Гипоаллергенный материал, Простой уход"
NEW BOSS MODOOL база правая шенилл Gloss карбон,https://mnogomebeli.com/divany/modulnye-divany/moduli/modul-s-podlokotnikom-boss-module-pravyy-shenill-gloss/!boss-modool-baza-pravaya-shenill-gloss-grey/,49 999,38 999,-22%,"https://mnogomebeli.com/upload/iblock/b73/b73edd0b34837fe6969293c10bfc9599.jpg, https://mnogomebeli.com/upload/iblock/941/94137d0f196fb99ae02350fb96c23ca2.jpg, https://mnogomebeli.com/upload/iblock/838/8381b42816eaea3c18b951612ddc1804.jpg","https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/65e/65e5483cd3e455958ed5d46e5ff3a657.jpg, https://mnogomebeli.com/upload/uf/cd7/cd733eb7bc32e51c2463206a741716b3.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/cbf/cbf9e6453b28ff47a8feb141456c747c.jpg","BOSS MODOOL подлокотник правый является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. BOSS MODOOL выполнен с учетом последних требований в области экологии – не содержит ЛДСП.
","Габариты (ШхГхВ): 127x118x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл Gloss, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 70 кг","Премиальный шенилл с высоким ворсом, Богатая блестящая фактура в сочетании с трендовыми цветами, Тактильно приятный, мягкий ворс, Высокая стойкость к истиранию – более 50 000 циклов, Гипоаллергенный материал"
NEW BOSS MODOOL оттоманка  левая шенилл Gloss беж,https://mnogomebeli.com/divany/modulnye-divany/moduli/ottomanka-boss-module-levaya-gloss/!boss-modool-ottomanka-levaya-shenill-gloss-beige/,64 999,62 999,-3%,"https://mnogomebeli.com/upload/iblock/729/7292533dd6234419e5702d698e7605fb.jpg, https://mnogomebeli.com/upload/iblock/f40/f406e1886b500ab38166701e15f08bb3.jpg, https://mnogomebeli.com/upload/iblock/614/614dc0fa7c6d343fdba6d02b7fd1230b.jpg","https://mnogomebeli.com/upload/uf/5a0/1o38392fy8v832xxmsuiw4rmpsqwe9tb.jpg, https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/b1c/b1ce7de6c3815e913645ab922ae65aa6.jpg",Оттоманка BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. Короб плавно открывается благодаря усиленным газлифтам.,"Габариты (ШхГхВ): 127x178x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл Gloss, Бельевой ящик: Да, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 93 кг","Премиальный шенилл с высоким ворсом, Богатая блестящая фактура в сочетании с трендовыми цветами, Тактильно приятный, мягкий ворс, Высокая стойкость к истиранию – более 50 000 циклов, Гипоаллергенный материал"
NEW ВOSS MODOOL угол шенилл Gloss беж,https://mnogomebeli.com/divany/modulnye-divany/moduli/uglovoy-modul-voss-module-shenill-gloss/!voss-modool-ugol-shenill-gloss-beige/,54 999,39 999,-27%,"https://mnogomebeli.com/upload/iblock/b1f/b1fbb5459acdd59210e601b022b2739a.jpg, https://mnogomebeli.com/upload/iblock/db2/db21e70b02f490ffb4b584a2b786d534.jpg, https://mnogomebeli.com/upload/iblock/049/04932536045c4928f461dae4fa2f3e10.jpg","https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/772/772ead7e0577dab89f9930e29ea90b48.jpg","Угловая секция BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность.
 ","Габариты (ШхГхВ): 118x118x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл Gloss, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 81 кг","Премиальный шенилл с высоким ворсом, Богатая блестящая фактура в сочетании с трендовыми цветами, Тактильно приятный, мягкий ворс, Высокая стойкость к истиранию – более 50 000 циклов, Гипоаллергенный материал"
NEW ВOSS MODOOL база шенилл IQ бежевый,https://mnogomebeli.com/divany/modulnye-divany/moduli/modul-voss-module-shenill-iq/!modul-voss-module-shenill-iq-bezhevyy/,39 999,34 999,-13%,"https://mnogomebeli.com/upload/iblock/a03/a03b999d91715d3e20e4788044e807cf.jpg, https://mnogomebeli.com/upload/iblock/54e/3d9n5z2fvbq6tdtithc6j5pgvb6it0j6.jpg","https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/a68/a68cb8eafb74a100bed32bfd5ce6f7a5.jpg",BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. BOSS MODOOL выполнен с учетом последних требований в области экологии – не содержит ЛДСП.,"Габариты (ШхГхВ): 101x118x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл IQ, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 61 кг","Шенилл премиального качества, Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 35 000 циклов, Богатая по текстуре и цвету ткань из нитей 5 оттенков, Гипоаллергенный материал, Простой уход"
NEW BOSS MODOOL оттоманка правая шенилл Gloss минт,https://mnogomebeli.com/divany/modulnye-divany/moduli/ottomanka-boss-module-pravaya/!boss-modool-ottomanka-pravaya-shenill-gloss-green/,64 999,62 999,-3%,"https://mnogomebeli.com/upload/iblock/a3e/a3ec84a51f6589893d70849a4e9193a7.jpg, https://mnogomebeli.com/upload/iblock/d84/d840e671fed73961230360658d1722db.jpg, https://mnogomebeli.com/upload/iblock/e8d/e8dea260f3ad74cb45149838db6d5b06.jpg","https://mnogomebeli.com/upload/uf/5a0/1o38392fy8v832xxmsuiw4rmpsqwe9tb.jpg, https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/982/982a25a9a688801d308513c772a09eca.jpg",Оттоманка BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. Короб плавно открывается благодаря усиленным газлифтам.,"Габариты (ШхГхВ): 127x178x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл IQ, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 93 кг","Шенилл премиального качества, Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 35 000 циклов, Богатая по текстуре и цвету ткань из нитей 5 оттенков, Гипоаллергенный материал, Простой уход"
NEW ВOSS MODOOL база шенилл Gloss беж,https://mnogomebeli.com/divany/modulnye-divany/moduli/modul-voss-module-shenill-gloss/!voss-modool-baza-shenill-gloss-beige/,39 999,34 999,-13%,"https://mnogomebeli.com/upload/iblock/268/268deaf8ffea6308289c68906350e2cf.jpg, https://mnogomebeli.com/upload/iblock/ab9/ab938082d6ea7bdf77136270317bdf2f.jpg, https://mnogomebeli.com/upload/iblock/6dd/6dd8359bc907c8a9a7bcddf4e380549f.jpg","https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/2c0/2c02909538cc9650362bf409460a05f8.jpg",BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. BOSS MODOOL выполнен с учетом последних требований в области экологии – не содержит ЛДСП.,"Габариты (ШхГхВ): 101x118x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл Gloss, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 61 кг","Премиальный шенилл с высоким ворсом, Богатая блестящая фактура в сочетании с трендовыми цветами, Тактильно приятный, мягкий ворс, Высокая стойкость к истиранию – более 50 000 циклов, Гипоаллергенный материал"
NEW ВOSS MODOOL база шенилл Gloss карбон,https://mnogomebeli.com/divany/modulnye-divany/moduli/modul-voss-module-shenill-gloss/!voss-modool-baza-shenill-gloss-grey/,39 999,34 999,-13%,"https://mnogomebeli.com/upload/iblock/18d/18d71f6d694c7767c2d62fdbda00c682.jpg, https://mnogomebeli.com/upload/iblock/945/9451b2c7666f8177d60b1eb42fbd6c95.jpg, https://mnogomebeli.com/upload/iblock/563/563960bef3df110ff673b38e8f477e5c.jpg","https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/2c0/2c02909538cc9650362bf409460a05f8.jpg",BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. BOSS MODOOL выполнен с учетом последних требований в области экологии – не содержит ЛДСП.,"Габариты (ШхГхВ): 101x118x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл Gloss, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 61 кг","Премиальный шенилл с высоким ворсом, Богатая блестящая фактура в сочетании с трендовыми цветами, Тактильно приятный, мягкий ворс, Высокая стойкость к истиранию – более 50 000 циклов, Гипоаллергенный материал"
NEW BOSS MODOOL оттоманка правая шенилл Gloss карбон,https://mnogomebeli.com/divany/modulnye-divany/moduli/ottomanka-boss-module-pravaya/!boss-modool-ottomanka-pravaya-shenill-gloss-grey/,64 999,62 999,-3%,"https://mnogomebeli.com/upload/iblock/155/155861070a916aaaf103cbf27f1a484c.jpg, https://mnogomebeli.com/upload/iblock/a76/a767a72825e3664ab706465adc275ab2.jpg, https://mnogomebeli.com/upload/iblock/a06/a0635cb2b4f4b32a7e58f2c46e8d93bc.jpg","https://mnogomebeli.com/upload/uf/5a0/1o38392fy8v832xxmsuiw4rmpsqwe9tb.jpg, https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/982/982a25a9a688801d308513c772a09eca.jpg",Оттоманка BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. Короб плавно открывается благодаря усиленным газлифтам.,"Габариты (ШхГхВ): 127x178x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл IQ, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 93 кг","Шенилл премиального качества, Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 35 000 циклов, Богатая по текстуре и цвету ткань из нитей 5 оттенков, Гипоаллергенный материал, Простой уход"
Угловой диван-кровать BOSS MODOOL XL шенилл IQ серый,https://mnogomebeli.com/divany/modulnye-divany/modulnyy-uglovoy-divan-boss-module-xl-levyy/uglovoy-divan-levyy-boss-module-xl-shenill-iq-polka-sleva-sp/!uglovoy-divan-krovat-boss-modool-xl-shenill-iq-seryy4/,191 995,158 995,-17%,"https://mnogomebeli.com/upload/iblock/047/ddj3iwz0w83t84fi0nsaa38r3e25pbsh.jpg, https://mnogomebeli.com/upload/iblock/081/eyopym388s6g6woxpr2qk2u10x1ug48k.jpg, https://mnogomebeli.com/upload/iblock/892/edjc2f91a5yy6ea115ku93wvp5nao9sm.jpg, https://mnogomebeli.com/upload/iblock/cc9/z344ajh89pyawzt6f3en2v5r2d4a0krz.jpg, https://mnogomebeli.com/upload/iblock/bce/zqta12n5etku4ljxmvdnhis1rt6x97yr.jpg, https://mnogomebeli.com/upload/iblock/912/0ju2n2eyutbkr28myai2ct0va2ittz3y.jpg",https://mnogomebeli.com/upload/iblock/0b3/eiluo5ehtvk6ixln4cmmt1w4qugw7373.jpg,"Модульная система для роскошного отдыха BOSS MODOOL. Сверхкомфортная посадка, сменные подлокотники и дополнительные аксессуары подарят вам непревзойденный комфорт. Модульная система позволит вам создать любую композицию, подходящую по форме и размеру.
","Габариты (ШхГхВ): 355x178x94 см, Спальное место (ШхГ): 200x125 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл IQ, Бельевой ящик: Да, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модульный, Подлокотники: Да, Вариант подлокотника: Мягкий + с полкой","Шенилл премиального качества, Водоотталкивающая пропитка Water Repellent, Высокая стойкость к истиранию - 35 000 циклов, Богатая по текстуре и цвету ткань из нитей 5 оттенков, Гипоаллергенный материал, Простой уход"
NEW ВOSS MODOOL база шенилл Gloss минт,https://mnogomebeli.com/divany/modulnye-divany/moduli/modul-voss-module-shenill-gloss/!voss-modool-baza-shenill-gloss-green/,39 999,34 999,-13%,"https://mnogomebeli.com/upload/iblock/1f3/1f305a28573beafc7931f5fb9a41570a.jpg, https://mnogomebeli.com/upload/iblock/ee6/ee6e3a9455155518989b19d1fa9de776.jpg, https://mnogomebeli.com/upload/iblock/9dc/9dcb579a3b09e51e5c60a33972af5372.jpg","https://mnogomebeli.com/upload/uf/d1d/g5t205nye3eezpiodliupcyp9ow4o3ie.jpg, https://mnogomebeli.com/upload/uf/dfa/dfa9e18160db584b955749af88834e2c.jpg, https://mnogomebeli.com/upload/uf/dd9/dd948cb2fd09135740ce2846f5b8f4e6.jpg, https://mnogomebeli.com/upload/uf/651/65130daefe9e5b8b2b3893fb9f5cb0a7.jpg, https://mnogomebeli.com/upload/iblock/2c0/2c02909538cc9650362bf409460a05f8.jpg",BOSS MODOOL является частью модульной системы. Металлический каркас обеспечивает долговечность и надежность. BOSS MODOOL выполнен с учетом последних требований в области экологии – не содержит ЛДСП.,"Габариты (ШхГхВ): 101x118x94 см, Материал каркаса: металл, Наполнитель: ППУ, пружины BOSS Comf, Ткань: шенилл Gloss, Бельевой ящик: Нет, Гарантия: 36 месяцев, Срок службы: 10 лет, Конфигурация: Модуль, Вес: 61 кг","Премиальный шенилл с высоким ворсом, Богатая блестящая фактура в сочетании с трендовыми цветами, Тактильно приятный, мягкий ворс, Высокая стойкость к истиранию – более 50 000 циклов, Гипоаллергенный материал"
